"Rank","Geographic Area","Census_2010","Estimates Base","Jul_1_2010","Jul_1_2011","Jul_1_2012","Jul_1_2013","Jul_1_2014","Jul_1_2015","Jul_1_2016","Jul_1_2017","Jul_1_2018","Jul_1_2019","latitude","longitude"
660,"Hendersonville city, Tennessee","51,372",51333,51485,52283,52919,53824,54851,55597,56563,57560,57634,58113,36.3049177,-86.621443
661,"White Plains city, New York","56,853",56866,56946,57183,57255,57647,57733,58020,58000,58388,58141,58109,41.0339862,-73.7629097
662,"Huntersville town, North Carolina","46,773",46909,47103,48184,49424,50673,51728,52973,55273,56385,57212,58098,35.4110705,-80.842731
663,"Santee city, California","53,413",53420,53640,54523,55381,56151,56828,57471,57678,57825,57944,58081,32.8383828,-116.9739167
664,"Kokomo city, Indiana","45,468",58187,58193,58208,58212,58204,58158,57980,57762,57858,57922,58020,40.4864444,-86.1336351
665,"Arcadia city, California","56,364",56303,56322,56594,56801,57215,57513,57835,58238,58374,58385,57939,34.1362075,-118.0401497
666,"Casper city, Wyoming","55,316",55316,55261,56092,57684,59487,59673,60014,58933,57851,57515,57931,42.8501191,-106.325138
667,"Dubuque city, Iowa","57,637",57605,57689,57916,58165,58491,58573,58566,58248,58299,57975,57882,42.5006217,-90.6647967
668,"Orland Park village, Illinois","56,767",56607,56664,56968,57232,58470,58592,58531,58912,58579,58179,57857,41.630663,-87.8536288
669,"Weymouth Town city, Massachusetts","53,743",53762,53828,54177,55058,55452,55725,55798,55924,56695,57511,57746,42.22195535,-70.9391273541793
670,"Parker town, Colorado","45,297",45357,45540,46116,47054,48364,49508,51112,52714,54261,55813,57706,39.49821125,-104.775893496125
671,"Palm Beach Gardens city, Florida","48,452",49896,50012,50563,51320,52221,53388,54437,55536,56360,57007,57704,26.8233946,-80.1386547
672,"Hanford city, California","53,967",54436,54463,54612,54524,54741,55086,55608,55663,56383,56971,57703,36.3274502,-119.6456844
